,"r","js"
"1",7125.02,7125.02
"2",5928.961,5928.961
"3",4933.682,4933.682
"4",4105.478,4105.478
"5",3416.303,3416.303
"6",2842.819,2842.819
"7",2365.601,2365.601
"8",1968.493,1968.493
"9",1638.046,1638.046
"10",1363.071,1363.071
"11",1134.255,1134.255
"12",943.8518,943.8518
"13",785.4098,785.4098
"14",653.5651,653.5651
"15",543.8528,543.8528
"16",452.5576,452.5576
"17",376.588,376.588
"18",313.3702,313.3709
"19",260.7658,260.7663
"20",216.9,216.9002
"21",179.2402,179.2404
"22",146.7906,146.8002
"23",118.4391,118.4469
"24",93.9909,93.99705
"25",73.38086,73.38566
"26",56.37669,56.38036
"27",42.76165,42.76444
"28",32.12333,32.12543
"29",23.90236,23.90392
"30",17.61805,17.6192
"31",12.90124,12.90089
"32",9.467379,9.467126
"33",6.974239,6.97406
"34",10.28542,10.28684
"35",151.481,151.3419
"36",817.1132,817.2509
"37",1870.52,1870.743
"38",2775.493,2775.622
"39",3302.328,3302.32
"40",3482.335,3482.228
"41",3426.05,3425.888
"42",3239.33,3239.145
"43",2973.308,2973.123
"44",2644.22,2643.728
"45",2320.491,2320.095
"46",2018.491,2018.171
"47",1745.902,1745.641
"48",1507.041,1506.851
"49",1254.058,1253.901
"50",1043.544,1043.412
"51",868.3658,868.2565
"52",722.5952,722.5043
"53",601.2943,601.2187
"54",500.3566,500.2937
"55",416.3631,416.3107
"56",346.4694,346.4258
"57",288.3085,288.2722
"58",239.9107,239.8805
"59",199.6374,199.6123
"60",166.1246,166.1038
"61",138.2381,138.2207
"62",115.0324,115.0179
"63",96.57168,96.55993
"64",128.9299,128.9243
"65",156.1971,156.1954
"66",185.9274,185.931
"67",227.374,227.3832
"68",282.0133,282.0287
"69",348.177,348.1995
"70",431.8487,431.8954
"71",541.7742,541.8246
"72",688.6597,688.7101
"73",875.5699,875.6144
"74",1094.198,1094.324
"75",1320.304,1320.41
"76",1534.41,1534.489
"77",1722.869,1722.918
"78",1876.246,1876.267
"79",1987.632,1987.629
"80",2055.873,2055.851
"81",2085.418,2085.384
"82",2082.335,2082.295
"83",2053.654,2053.601
"84",2006.675,2006.624
"85",1947.742,1947.695
"86",1882.948,1882.908
"87",1818.89,1818.801
"88",1760.227,1760.234
"89",1697.86,1697.875
"90",1630.586,1630.587
"91",1558.049,1558.04
"92",1481.451,1481.435
"93",1400.988,1400.969
"94",1312.771,1312.753
"95",1211.911,1211.895
"96",1088.226,1088.098
"97",960.3796,960.2594
"98",837.6013,837.4928
"99",724.7697,724.6727
"100",624.8142,624.7293
"101",526.6747,526.6027
"102",438.2631,438.2034
"103",364.693,364.643
"104",303.4729,303.4312
"105",252.5297,252.4951
"106",210.1381,210.1094
"107",174.8628,174.8389
