"","x"
"1",60.8485
"2",59.41352
"3",58.01238
"4",56.64428
"5",55.30844
"6",54.00411
"7",52.73054
"8",51.48701
"9",50.27279
"10",49.08722
"11",47.9296
"12",46.79928
"13",45.69562
"14",44.61799
"15",-5.645307e-10
"16",0.0006492148
"17",0.001266801
"18",0.002099817
"19",0.003022188
"20",0.003902068
"21",0.00472228
"22",0.005790945
"23",0.007368772
"24",0.008723887
"25",0.009795504
"26",0.01053896
"27",0.01034808
"28",0.009989024
"29",0.009485141
"30",0.008863429
"31",0.007648872
"32",0.006393192
"33",0.005361174
"34",0.004510294
"35",0.003734776
"36",0.002991542
"37",0.002408601
"38",0.00194685
"39",0.001577092
"40",0.001100639
"41",0.0007276721
"42",0.0004258987
"43",0.0001728145
"44",2.814189e-05
"45",3.294539e-22
"46",3.216844e-22
"47",3.140982e-22
"48",3.066908e-22
"49",2.994582e-22
"50",2.923961e-22
"51",2.855006e-22
"52",2.787677e-22
"53",2.721935e-22
"54",2.657744e-22
"55",2.595067e-22
"56",2.533868e-22
"57",2.474112e-22
"58",2.415765e-22
"59",2.358795e-22
"60",2.303168e-22
"61",2.248852e-22
"62",2.195818e-22
"63",2.144034e-22
"64",2.093472e-22
"65",2.044102e-22
"66",1.995896e-22
"67",1.050645e-05
"68",0.0001211314
"69",0.0002323186
"70",0.0003350003
"71",0.000428081
"72",0.0005108701
"73",0.0005804611
"74",0.0006253719
"75",0.0006385551
"76",0.0006401886
"77",0.00063089
"78",0.0006115929
"79",0.0005723406
"80",0.0005299089
"81",0.0004854879
"82",0.0004401707
"83",0.000398379
"84",0.0003574155
"85",0.0003163428
"86",0.0002762244
"87",0.000222019
"88",0.0001558049
"89",0.000110113
"90",7.763788e-05
"91",5.383692e-05
"92",3.874426e-05
"93",2.673021e-05
"94",1.689364e-05
"95",8.596295e-06
"96",3.244425e-06
"97",4.568424e-10
"98",-2.147986e-17
"99",-2.09733e-17
"100",-2.047869e-17
"101",-1.999575e-17
"102",-1.952419e-17
"103",-1.906375e-17
"104",-1.861417e-17
"105",-1.81752e-17
"106",-1.774658e-17
"107",-1.732806e-17
"108",-1.691942e-17
"109",-1.652041e-17
"110",-1.613081e-17
"111",-1.57504e-17
"112",-1.537896e-17
"113",-1.501628e-17
"114",-1.466215e-17
"115",-1.431638e-17
