"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0","LogLik","LogLik",
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21073.2587710815,"NaN","#VALUE!"
2000,4.59786378160286,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004591000020939,0.000429608565298,29.1185878868456,1660,0.843040790287259,0.881226169310806,0.926378796447788,2.16866760746757E-05,0.4,4,0.991540108306915,17.0883933362362,0.333333333333333,199.831190223986,5652.52194357435,0.41058117935765,286.615746763165,2.78960720579534,160.060537860767,3.31152484809564,0.505839282558445,624.778771632109,128439.54664991,19050.6657146366,0.000308614157195,0.998754761514993,-8587.1866071562,-8587.198267,-0.011659843799862
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21073.2587710815,"NaN","#VALUE!"
2000,4.07220167858401,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004454738830049,0.00042380805703,28.0613223805391,1660,0.80576801318248,0.853920271138829,0.933506810750878,1.99992421915684E-05,0.4,4,0.962279703062134,16.8954589966456,0.333333333333333,497871.370919486,51.2116551458284,1.78015285734065,321.645452962968,12.7562785291896,150.934939228841,1.66335307530393,8.65523144101352,788.317112332693,153208.662365104,13612.0856565084,0.000302302809751,0.998281568647272,-8581.25224283159,-8581.245075,0.007167831588959
2000,4.3611575334812,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004467506492032,0.000413323984564,24.3158340917797,1660,0.846016849449792,0.906521676645438,0.893883844510911,2.52467817040601E-05,0.4,4,1.17404889961674,17.0132508790168,0.333333333333333,187.078734037916,3471.55050206835,0.300468780984076,276.538000825721,3.16520666959869,216.538395308949,1.41945531186548,3.82663969273951,908.585022255787,7139.939226798,7419.49966146321,7.26068876372912E-05,0.999578269468011,-8580.83952160413,-8580.786846,0.052675604129036
2000,4.51149139661276,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004519587328558,0.000428593565924,29.4404054797623,1660,0.843910886885735,0.890727885459582,0.925630541266687,2.25649605938124E-05,0.4,4,0.983774672637511,17.0995528163864,0.333333333333333,340704.205393248,110.676908681541,1.25785216492333,278.246214659499,9.951939896263,166.020985394153,4.4343845724198,6.8913980000671,428.322145622154,249844.860545731,11358.4999677717,0.000273512900669,0.998375145961466,-8586.82589887557,-8586.82055,0.005348875569325
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21073.2587710815,"NaN","#VALUE!"
2000,4.41917972414957,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004503850370213,0.000429795201489,24.3565411052537,1660,0.844688110647312,0.86757524801118,0.912700159746879,2.61750596637721E-05,0.4,4,0.996554464836031,17.1230223863367,0.333333333333333,21918.0277001206,5.80406445052554,2.6310303565293,286.278837574632,3.39632431235912,206.165819906939,105.341653787601,0.380589266396012,523.830358203747,115456.575845849,19635.3965394117,7.4113140811985E-05,0.999554745375851,-8583.60299583313,-8583.60117,0.00182583312926
2000,4.42321171083161,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004380717039813,0.000430681072385,19.5307103382385,1660,0.797057106751547,0.935827945976704,0.892514378016274,3.30243827477268E-05,0.4,4,1.16854940960272,16.8401956133469,0.333333333333333,29486.895968253,2.95748827696772,0.063699117197725,289.801543270495,6.58729540531824,173.834538823074,13.8711050624089,54.2209042259653,61200.148406922,71844.9118676795,931.48928069487,0.000448091126009,0.999360399085011,-8580.4645084349,-8580.41897,0.045538434898845
2000,4.6242410424009,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004516129279092,0.000425439677611,24.0311711908959,1660,0.83562487426044,0.942448268624775,0.944546412889342,2.7183539509025E-05,0.4,4,0.993936795087949,17.1331885041439,0.333333333333333,18956.5849424289,205.354561210185,0.152974731883807,346.17405010361,9.71064165868919,142.704998230969,22.1648227348817,15.0991757515679,920.316167640144,92065.2178772913,21257.2773659091,0.001689335604878,0.997745237093589,-8588.88790632861,-8588.841158,0.046748328610192
2000,4.61108454077131,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004748857783028,0.000452731067063,23.5925770405734,1660,0.812528149867204,0.977513276159503,0.713738545193166,3.07200188187186E-05,0.4,4,1.19538209800439,16.9623045087584,0.333333333333333,38514.6710956597,432.894324644595,2.58731578467753,284.817682335827,0.71105129664933,366.227100007599,5.05647436363575,6.42225254053172,744.238567476056,103039.181312475,52055.9885369291,0.000161162522372,0.997633644550333,-8578.44084833166,-8578.448622,-0.007773668339723
2000,3.16655135132461,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.003878861131442,0.000423911064217,31.4773257215062,1660,0.827625487320215,0.886753916306393,0.895909423260354,1.84320402324122E-05,0.4,4,1.04321702111637,22.4452957527463,0.333333333333333,23533.1972658102,5411.62136889767,1.15629730067974,300.508387666419,602.710137929704,146.521260299398,1.82407836874827,12.1845601067595,775.930765401087,232858.04931072,15676.502757105,0.000272744703253,0.998538098629722,"NA","NaN","#VALUE!"
2000,4.33282323847291,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004535634438607,0.000427152755732,29.4165178048563,1660,0.809920599261344,0.836374057863812,0.924490447188631,2.03716776334925E-05,0.4,4,1.33795183078255,16.8585723961129,0.333333333333333,15691.9848203442,189.793214425051,0.193480693913006,268.861873644477,638.4412866677,207.185739181609,3.6610779848934,3.93980738636657,1595.23302618589,113647.373565672,20147.7173223343,0.000164195738993,0.999286308958527,-8580.74956422554,-8580.752601,-0.00303677446027
2000,4.43938549331912,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004488842408878,0.000426864443089,21.5888669784354,1660,0.826322389411253,0.941448166151445,0.885815842962512,3.16072380639992E-05,0.4,4,0.969051982704512,17.0788792329104,0.333333333333333,22942.3427255896,26.4453368517708,1.338270770083,344.762630562966,6.800781420482,184.909436252642,3.39709868403979,40.1797699398504,10812.1366447403,18215.4662879642,7993.78655318978,0.000198104331625,0.999285787570785,-8582.66817167705,-8582.691087,-0.022915322948393
2000,4.39768305237254,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004486788481121,0.000427170612947,29.0896280068837,1660,0.846093115303427,0.875971152483617,0.925524131594589,2.01638357875923E-05,0.4,4,0.975413425313912,17.111300391789,0.333333333333333,1179.60840350735,302.370142724396,1.01437248624571,282.348148932676,745.279723145624,181.836452308049,0.1374200753905,7.64552293376477,1912.3767708639,181401.99349307,10989.8307171832,0.000113525619313,0.999490050188495,-8586.84933341647,-8586.846713,0.002620416469654
2000,4.04386950203207,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004494057326825,0.000417585088887,30.0950967168113,1660,0.822298853180673,0.874652379082468,0.879217899681325,1.96046256760528E-05,0.4,4,1.35729465180933,17.0165815356933,0.333333333333333,30734.781793922,44.4136107109101,508.644446984389,249.383077423435,4.54474993435808,251.532647214471,1.71823359880759,6.78427899923557,2068.85833833544,33039.6879054195,548.552111157292,9.15166228123518E-05,0.99938384276951,-8579.9306033004,-8579.922735,0.007868300399423
