"Year","Week","Encephalitis"
1998,1,0
1998,2,0
1998,3,0
1998,4,0
1998,5,1
1998,6,0
1998,7,0
1998,8,0
1998,9,0
1998,10,0
1998,11,0
1998,12,1
1998,13,0
1998,14,2
1998,15,0
1998,16,0
1998,17,2
1998,18,2
1998,19,2
1998,20,3
1998,21,2
1998,22,8
1998,23,11
1998,24,1
1998,25,7
1998,26,7
1998,27,3
1998,28,6
1998,29,6
1998,30,2
1998,31,5
1998,32,3
1998,33,2
1998,34,2
1998,35,1
1998,36,0
1998,37,0
1998,38,0
1998,39,0
1998,40,1
1998,41,1
1998,42,0
1998,43,1
1998,44,1
1998,45,1
1998,46,0
1998,47,0
1998,48,0
1998,49,0
1998,50,0
1998,51,0
1998,52,0
1999,1,0
1999,2,0
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0
1999,9,0
1999,10,0
1999,11,0
1999,12,0
1999,13,0
1999,14,0
1999,15,0
1999,16,1
1999,17,1
1999,18,3
1999,19,2
1999,20,4
1999,21,3
1999,22,1
1999,23,4
1999,24,4
1999,25,8
1999,26,3
1999,27,4
1999,28,2
1999,29,4
1999,30,2
1999,31,2
1999,32,0
1999,33,0
1999,34,1
1999,35,0
1999,36,0
1999,37,2
1999,38,0
1999,39,3
1999,40,1
1999,41,1
1999,42,0
1999,43,0
1999,44,0
1999,45,0
1999,46,0
1999,47,0
1999,48,0
1999,49,0
1999,50,0
1999,51,0
1999,52,0
2000,1,0
2000,2,0
2000,3,0
2000,4,0
2000,5,0
2000,6,0
2000,7,0
2000,8,0
2000,9,1
2000,10,0
2000,11,0
2000,12,0
2000,13,0
2000,14,1
2000,15,0
2000,16,0
2000,17,0
2000,18,1
2000,19,4
2000,20,5
2000,21,1
2000,22,1
2000,23,2
2000,24,5
2000,25,4
2000,26,1
2000,27,0
2000,28,2
2000,29,2
2000,30,1
2000,31,0
2000,32,0
2000,33,2
2000,34,1
2000,35,2
2000,36,0
2000,37,1
2000,38,0
2000,39,0
2000,40,0
2000,41,1
2000,42,1
2000,43,0
2000,44,0
2000,45,3
2000,46,0
2000,47,0
2000,48,0
2000,49,1
2000,50,0
2000,51,0
2000,52,0
2001,1,1
2001,2,0
2001,3,0
2001,4,0
2001,5,0
2001,6,0
2001,7,0
2001,8,0
2001,9,0
2001,10,0
2001,11,0
2001,12,1
2001,13,1
2001,14,0
2001,15,0
2001,16,1
2001,17,1
2001,18,4
2001,19,1
2001,20,1
2001,21,3
2001,22,4
2001,23,5
2001,24,4
2001,25,2
2001,26,5
2001,27,2
2001,28,5
2001,29,2
2001,30,1
2001,31,4
2001,32,0
2001,33,0
2001,34,1
2001,35,0
2001,36,0
2001,37,0
2001,38,1
2001,39,0
2001,40,0
2001,41,3
2001,42,2
2001,43,0
2001,44,0
2001,45,0
2001,46,0
2001,47,0
2001,48,0
2001,49,0
2001,50,0
2001,51,0
2001,52,0
2002,1,0
2002,2,0
2002,3,0
2002,4,0
2002,5,0
2002,6,0
2002,7,1
2002,8,0
2002,9,0
2002,10,1
2002,11,0
2002,12,1
2002,13,2
2002,14,0
2002,15,3
2002,16,2
2002,17,1
2002,18,1
2002,19,2
2002,20,1
2002,21,4
2002,22,3
2002,23,4
2002,24,6
2002,25,4
2002,26,0
2002,27,5
2002,28,4
2002,29,0
2002,30,1
2002,31,0
2002,32,0
2002,33,1
2002,34,2
2002,35,1
2002,36,1
2002,37,0
2002,38,2
2002,39,1
2002,40,0
2002,41,0
2002,42,1
2002,43,0
2002,44,3
2002,45,1
2002,46,0
2002,47,0
2002,48,0
2002,49,1
2002,50,0
2002,51,0
2002,52,0
2003,1,0
2003,2,0
2003,3,1
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0
2003,9,0
2003,10,0
2003,11,0
2003,12,0
2003,13,0
2003,14,1
2003,15,1
2003,16,0
2003,17,1
2003,18,7
2003,19,3
2003,20,3
2003,21,3
2003,22,6
2003,23,5
2003,24,9
2003,25,5
2003,26,8
2003,27,4
2003,28,5
2003,29,2
2003,30,4
2003,31,0
2003,32,1
2003,33,0
2003,34,1
2003,35,0
2003,36,0
2003,37,0
2003,38,2
2003,39,0
2003,40,0
2003,41,0
2003,42,0
2003,43,0
2003,44,1
2003,45,0
2003,46,0
2003,47,0
2003,48,0
2003,49,0
2003,50,0
2003,51,0
2003,52,0
2004,1,0
2004,2,0
2004,3,0
2004,4,0
2004,5,0
2004,6,0
2004,7,0
2004,8,0
2004,9,0
2004,10,0
2004,11,0
2004,12,0
2004,13,0
2004,14,0
