"Year"," Month","Temperature"
1901,1,-4.790322581
1901,2,-3.167857143
1901,3,4.690322581
1901,4,10.13
1901,5,15.17741935
1901,6,18.85
1901,7,20.98387097
1901,8,19.20967742
1901,9,14.28333333
1901,10,11.19677419
1901,11,2.783333333
1901,12,2.64516129
1902,1,2.451612903
1902,2,0.992857143
1902,3,4.709677419
1902,4,9.626666667
1902,5,11.47741935
1902,6,16.75333333
1902,7,18.09677419
1902,8,18.53225806
1902,9,14.27666667
1902,10,9.451612903
1902,11,1.193333333
1902,12,-2.464516129
1903,1,-3.032258065
1903,2,3.521428571
1903,3,7.270967742
1903,4,7.296666667
1903,5,14.46129032
1903,6,17.13666667
1903,7,19.21612903
1903,8,18.48387097
1903,9,14.36666667
1903,10,10.14193548
1903,11,5.46
1903,12,1.164516129
1904,1,-1.587096774
1904,2,2.993103448
1904,3,5.435483871
1904,4,10.64
1904,5,14.65483871
1904,6,18.36
1904,7,21.47741935
1904,8,19.33870968
1904,9,13.60666667
1904,10,10.10967742
1904,11,3.26
1904,12,1.551612903
1905,1,-3.983870968
1905,2,1.257142857
1905,3,6.183870968
1905,4,8.673333333
1905,5,14.29354839
1905,6,18.89
1905,7,21.56774194
1905,8,20.06451613
1905,9,16.15
1905,10,5.335483871
1905,11,5.156666667
1905,12,1.316129032
1906,1,-0.722580645
1906,2,1.132142857
1906,3,4.770967742
1906,4,10.04333333
1906,5,15.23225806
1906,6,16.85666667
1906,7,19.61290323
1906,8,18.30645161
1906,9,13.70333333
1906,10,9.770967742
1906,11,6.553333333
1906,12,-1.54516129
1907,1,-1.606451613
1907,2,-1.935714286
1907,3,2.683870968
1907,4,7.183333333
1907,5,16.43870968
1907,6,18.82666667
1907,7,18.44516129
1907,8,18.96774194
1907,9,14.68333333
1907,10,13.48064516
1907,11,3.656666667
1907,12,1.683870968
1908,1,-2.674193548
1908,2,1.224137931
1908,3,3.374193548
1908,4,8.403333333
1908,5,17.29032258
1908,6,19.63333333
1908,7,19.48387097
1908,8,17.49032258
1908,9,13.25333333
1908,10,8.448387097
1908,11,-0.423333333
1908,12,-1.212903226
1909,1,-2.483870968
1909,2,-2.617857143
1909,3,3.635483871
1909,4,10.79666667
1909,5,13.39677419
1909,6,17.51666667
1909,7,18.52258065
1909,8,19.33548387
1909,9,15.51666667
1909,10,11.20645161
1909,11,2.873333333
1909,12,1.916129032
1910,1,0.116129032
1910,2,3.521428571
1910,3,5.512903226
1910,4,9.443333333
1910,5,14.25483871
1910,6,18.58333333
1910,7,18.4516129
1910,8,18.57096774
1910,9,13.59
1910,10,10.05806452
1910,11,3.473333333
1910,12,3.896774194
1911,1,-1.077419355
1911,2,-0.321428571
1911,3,5.019354839
1911,4,9.153333333
1911,5,14.40322581
1911,6,17.22333333
1911,7,21.35806452
1911,8,21.33225806
1911,9,16.14
1911,10,9.7
1911,11,7.023333333
1911,12,2.122580645
1912,1,-3.467741935
1912,2,2.496551724
1912,3,7.425806452
1912,4,8.34
1912,5,14.29354839
1912,6,18.65
1912,7,19.67096774
1912,8,17.16774194
1912,9,10.51333333
1912,10,7.651612903
1912,11,1.58
1912,12,1.029032258
1913,1,-2.819354839
1913,2,-0.589285714
1913,3,6.574193548
1913,4,9.933333333
1913,5,13.96774194
1913,6,17.62
1913,7,16.87419355
1913,8,17.4483871
1913,9,14.67
1913,10,10.16451613
1913,11,6.61
1913,12,0.925806452
1914,1,-6.283870968
1914,2,-3.167857143
1914,3,5.906451613
1914,4,11.22333333
1914,5,13.97741935
1914,6,17.12333333
1914,7,18.65806452
1914,8,18.5483871
1914,9,13.72
1914,10,8.838709677
1914,11,2.893333333
1914,12,2.193548387
1915,1,0.412903226
1915,2,1.117857143
1915,3,3.248387097
1915,4,9.57
1915,5,15.41290323
1915,6,19.29333333
1915,7,18.57741935
1915,8,17.02903226
1915,9,12.84666667
1915,10,7.9
1915,11,2.406666667
1915,12,3.7
1916,1,2.590322581
1916,2,0.734482759
1916,3,7.832258065
1916,4,9.686666667
1916,5,15.38064516
1916,6,16.42666667
1916,7,19.50645161
1916,8,18.68387097
1916,9,13.38
1916,10,9.338709677
1916,11,6.096666667
1916,12,3.577419355
1917,1,-1.416129032
1917,2,-4.482142857
1917,3,2.274193548
1917,4,7.236666667
1917,5,15.62580645
1917,6,19.88
1917,7,20.46129032
1917,8,19.95806452
1917,9,16.23333333
1917,10,9.832258065
1917,11,4.343333333
1917,12,-1.990322581
1918,1,0.35483871
1918,2,0.842857143
1918,3,5.003225806
1918,4,11.92333333
1918,5,14.91612903
1918,6,15.46333333
1918,7,18.83870968
1918,8,17.84193548
1918,9,15.61
1918,10,9.364516129
1918,11,3.18
1918,12,2.358064516
1919,1,1.425806452
1919,2,-1.442857143
1919,3,4.970967742
1919,4,7.51
1919,5,10.90967742
1919,6,16.52333333
1919,7,17.21290323
1919,8,18.1483871
1919,9,15.93333333
1919,10,8.164516129
1919,11,3.08
1919,12,0.667741935
1920,1,1.993548387
1920,2,2.748275862
1920,3,7.125806452
1920,4,12.15666667
1920,5,15.96129032
1920,6,16.42333333
1920,7,19.94193548
1920,8,17.21290323
1920,9,15.01
1920,10,6.625806452
1920,11,-0.016666667
1920,12,-0.051612903
1921,1,3.038709677
1921,2,0.046428571
1921,3,4.883870968
1921,4,7.723333333
1921,5,15.42903226
1921,6,16.17333333
1921,7,20.39032258
1921,8,19.36129032
1921,9,14.13666667
1921,10,10.84193548
1921,11,0.993333333
1921,12,-1.551612903
1922,1,-2.5
1922,2,-2.339285714
1922,3,5.480645161
1922,4,7.956666667
1922,5,14.57419355
1922,6,18.34
1922,7,19.77419355
1922,8,18.83548387
1922,9,12.80333333
1922,10,7.174193548
1922,11,2.176666667
1922,12,1.277419355
1923,1,0.903225806
1923,2,0.017857143
1923,3,4.790322581
1923,4,8.26
1923,5,15.62258065
1923,6,14.36666667
1923,7,19.7
1923,8,18.54516129
1923,9,14.75666667
1923,10,11.97096774
1923,11,5.18
1923,12,0.232258065
1924,1,-2.967741935
1924,2,-2.644827586
1924,3,3.393548387
1924,4,8.776666667
1924,5,16.12903226
1924,6,17.20333333
1924,7,19.2
1924,8,16.62258065
1924,9,15.48666667
1924,10,9.929032258
1924,11,2.54
1924,12,-0.358064516
1925,1,-0.283870968
1925,2,4.1
1925,3,3.467741935
1925,4,9.416666667
1925,5,15.33870968
1925,6,16.14666667
1925,7,19.31612903
1925,8,18.26129032
1925,9,13.28666667
1925,10,9.312903226
1925,11,4.013333333
1925,12,-2.474193548
1926,1,-2.15483871
1926,2,4.617857143
1926,3,4.587096774
1926,4,10.34666667
1926,5,13.71612903
1926,6,16.17666667
1926,7,18.28387097
1926,8,17.35483871
1926,9,15.58666667
1926,10,10.08387097
1926,11,9.646666667
1926,12,0.622580645
1927,1,1.590322581
1927,2,0.35
1927,3,6.5
1927,4,9.413333333
1927,5,13.51290323
1927,6,18.48333333
1927,7,19.94516129
1927,8,19.11290323
1927,9,15.89
1927,10,9.396774194
1927,11,4.636666667
1927,12,-2.635483871
1928,1,-0.793548387
1928,2,1.193103448
1928,3,3.041935484
1928,4,10.49
1928,5,11.89354839
1928,6,16.94333333
1928,7,21.71612903
1928,8,20.01935484
1928,9,14.75
1928,10,9.94516129
1928,11,6.766666667
1928,12,-0.322580645
1929,1,-6.080645161
1929,2,-10.32142857
1929,3,2.174193548
1929,4,6.386666667
1929,5,15.27096774
1929,6,16.86
1929,7,19.99032258
1929,8,20.43870968
1929,9,16.45333333
1929,10,11.39354839
1929,11,6.23
1929,12,2.374193548
1930,1,-0.103225806
1930,2,-0.139285714
1930,3,5.851612903
1930,4,10.31
1930,5,13.79354839
1930,6,19.6
1930,7,19.23870968
1930,8,18.02258065
1930,9,16.04666667
1930,10,9.806451613
1930,11,6.563333333
1930,12,0.309677419
1931,1,-0.061290323
1931,2,-0.260714286
1931,3,0.477419355
1931,4,7.13
1931,5,16.79032258
1931,6,19.45666667
1931,7,20.53548387
1931,8,18.05806452
1931,9,11.62333333
1931,10,8.348387097
1931,11,3.676666667
1931,12,-1.441935484
1932,1,-0.470967742
1932,2,-3.668965517
1932,3,0.032258065
1932,4,9.33
1932,5,15.05806452
1932,6,16.97333333
1932,7,21.55806452
1932,8,21.26451613
1932,9,18.48
1932,10,10.3516129
1932,11,4.163333333
1932,12,-0.077419355
1933,1,-3.567741935
1933,2,0.039285714
1933,3,5.1
1933,4,7.82
1933,5,13.17741935
1933,6,14.98333333
1933,7,19.30967742
1933,8,19.05483871
