,"x"
"1","0.0000000000000000"
"2","0.4000000000000000"
"3","4.0000000000000000"
"4","40.0000000000000000"
"5","400.0000000000000000"
"6","4000.0000000000000000"
"7","40000.0000000000000000"
"8","400000.0000000000000000"
"9","4000000.0000000000000000"
"10","40000000.0000000000000000"
"11","400000000.0000000000000000"
"12","4000000000.0000000000000000"
"13","40000000000.0000000000000000"
"14","1.0000000000000000"
"15","0.9851722978605973"
"16","0.9055178588367291"
"17","0.7158298049974855"
"18","0.4505173979158392"
"19","0.1831993792339815"
"20","0.0389832827975644"
"21","0.0049370973588171"
"22","0.0005161880369180"
"23","0.0000516427773414"
"24","0.0000052573366541"
"25","0.0000003728345038"
"26","-0.0000002292249114"
"27","0.0000000000000000"
"28","0.0000338639915639"
"29","0.0000224043732836"
"30","0.0000091855006902"
"31","0.0000032228865393"
"32","0.0000008942297405"
"33","0.0000001621391540"
"34","0.0000000198451811"
"35","0.0000000020658053"
"36","0.0000000002065815"
"37","0.0000000000210294"
"38","0.0000000000014913"
"39","-0.0000000000009169"
"40","0.0000000000000000"
"41","0.0147938381478390"
"42","0.0944597367899874"
"43","0.2841610095018247"
"44","0.5494793791976222"
"45","0.8167997265362784"
"46","0.9610165550632767"
"47","0.9950628827959974"
"48","0.9994838098972720"
"49","0.9999483570160715"
"50","0.9999947426423110"
"51","0.9999996271639994"
"52","1.0000002292258134"
